X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1132.89537	8.19682	100.21018	0.10865	-1.00847	172.51129	0.28119	-0.99132	0.13036	-0.01720	-0.13031	-0.99146	-0.00417	-0.01760	-0.00190	0.99984	
1132.87879	8.21391	100.21488	0.09867	-0.95377	172.48320	0.29960	-0.99127	0.13085	-0.01628	-0.13080	-0.99140	-0.00388	-0.01665	-0.00172	0.99986	
1132.89971	8.19409	100.18903	0.12454	-0.99682	172.51671	0.27460	-0.99133	0.13027	-0.01697	-0.13022	-0.99148	-0.00442	-0.01740	-0.00217	0.99985	
1132.89369	8.20697	100.22008	0.11626	-0.89196	172.51520	0.28814	-0.99136	0.13029	-0.01517	-0.13025	-0.99147	-0.00404	-0.01557	-0.00203	0.99988	
1132.87670	8.20244	100.23316	0.08355	-0.88632	172.51866	0.30053	-0.99137	0.13023	-0.01515	-0.13019	-0.99148	-0.00346	-0.01547	-0.00146	0.99988	
1132.88905	8.17197	100.14941	0.12104	-1.07478	172.53931	0.29772	-0.99136	0.12989	-0.01832	-0.12982	-0.99153	-0.00453	-0.01876	-0.00211	0.99982	
1132.85203	8.19965	100.21035	0.12459	-0.96675	172.50314	0.27960	-0.99131	0.13051	-0.01644	-0.13045	-0.99144	-0.00436	-0.01687	-0.00217	0.99986	
1132.83366	8.18586	100.25401	0.09961	-0.89553	172.45868	0.29493	-0.99123	0.13127	-0.01527	-0.13123	-0.99135	-0.00377	-0.01563	-0.00174	0.99988	
1132.65731	8.23811	100.30026	0.06753	-0.94409	172.42967	0.37079	-0.99115	0.13176	-0.01618	-0.13173	-0.99128	-0.00334	-0.01648	-0.00118	0.99986	
1132.69862	8.15608	100.25580	0.09857	-1.05125	172.43866	0.37828	-0.99114	0.13162	-0.01796	-0.13157	-0.99130	-0.00412	-0.01835	-0.00172	0.99983	
