x, y, z, qx, qy, qz, qw
-0.0311953500, -0.0000303780, 0.1149385000, 0.0080714240, 0.0000000000, 0.0084608020, 0.9999316000
-0.0312155800, -0.0000099757, 0.1149423000, 0.0080640350, 0.0000000000, 0.0084713630, 0.9999316000
-0.0312181100, 0.0000023619, 0.1149433000, 0.0080427570, 0.0000000000, 0.0084625630, 0.9999318000
-0.0312383800, 0.0000004688, 0.1149468000, 0.0080297780, 0.0000000000, 0.0084537550, 0.9999320000
-0.0312311900, 0.0000268526, 0.1149321000, 0.0080538660, 0.0000000000, 0.0084713630, 0.9999317000
-0.0312481100, 0.0000201756, 0.1149330000, 0.0080307050, 0.0000000000, 0.0084660840, 0.9999319000
-0.0312606100, 0.0000187129, 0.1149410000, 0.0080371960, 0.0001220703, 0.0084581600, 0.9999319000
-0.0312660700, -0.0000205876, 0.1149619000, 0.0079851150, 0.0000000000, 0.0084449370, 0.9999325000
-0.0312680600, 0.0000647462, 0.1149569000, 0.0080612630, 0.0000000000, 0.0084643240, 0.9999317000
-0.0312770300, 0.0000344078, 0.1149654000, 0.0080074780, 0.0000000000, 0.0084572800, 0.9999322000
-0.0312859600, 0.0000265962, 0.1149513000, 0.0080223510, 0.0000000000, 0.0084713630, 0.9999319000
-0.0312194900, 0.0000852152, 0.1149279000, 0.0080824930, 0.0000000000, 0.0084493470, 0.9999316000
-0.0312280600, 0.0000282702, 0.1149421000, 0.0079860480, 0.0000000000, 0.0084713630, 0.9999322000
-0.0312398600, -0.0000284698, 0.1149472000, 0.0079533280, 0.0000000000, 0.0084555170, 0.9999326000
-0.0312446800, -0.0000131458, 0.1149483000, 0.0080316330, 0.0000000000, 0.0084783970, 0.9999318000
-0.0312496900, -0.0000250038, 0.1149556000, 0.0079925770, 0.0000000000, 0.0084660840, 0.9999322000
-0.0312305300, -0.0000534711, 0.1149615000, 0.0079701730, 0.0000000000, 0.0084281570, 0.9999327000
-0.0312371600, -0.0000518060, 0.1149582000, 0.0080139880, 0.0000000000, 0.0084731220, 0.9999320000
-0.0312474600, -0.0000582797, 0.1149605000, 0.0079972360, 0.0000000000, 0.0084608020, 0.9999322000
-0.0312527300, -0.0000308113, 0.1149489000, 0.0080455360, 0.0000000000, 0.0084696040, 0.9999318000
-0.0312485000, -0.0000339595, 0.1149298000, 0.0080084080, 0.0000000000, 0.0084272730, 0.9999324000
-0.0312422900, -0.0000700185, 0.1149456000, 0.0079711070, 0.0000000000, 0.0084537550, 0.9999325000
-0.0312458500, -0.0000617279, 0.1149484000, 0.0080232800, 0.0000000000, 0.0084783970, 0.9999319000
-0.0312553600, -0.0000690369, 0.1149528000, 0.0080074780, 0.0000000000, 0.0084748800, 0.9999320000
-0.0312734900, -0.0000602998, 0.1149617000, 0.0080139880, 0.0000000000, 0.0084519920, 0.9999322000
-0.0313163500, 0.0004858965, 0.1148782000, 0.0082801110, 0.0001726335, 0.0084660840, 0.9999298000
