rx, ry, rz, qx, qy, qz, qw
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371836800, -0.0495002100, -1.074028000, -0.2072243000, -0.3622365000, -0.1049939000, -0.902673300
0.0371863400, -0.0494893900, -1.074029000, -0.2071089000, -0.3621899000, -0.1049727000, -0.902720900
0.0371863400, -0.0494893900, -1.074029000, -0.2071089000, -0.3621899000, -0.1049727000, -0.902720900
0.0371863400, -0.0494893900, -1.074029000, -0.2071089000, -0.3621899000, -0.1049727000, -0.902720900
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0371976000, -0.0495048900, -1.074036000, -0.2072194000, -0.3621025000, -0.1050238000, -0.902724700
0.0372021300, -0.0494919500, -1.074023000, -0.2070584000, -0.3620715000, -0.1049577000, -0.902781800
0.0372021300, -0.0494919500, -1.074023000, -0.2070584000, -0.3620715000, -0.1049577000, -0.902781800
0.0372021300, -0.0494919500, -1.074023000, -0.2070584000, -0.3620715000, -0.1049577000, -0.902781800
0.0372021300, -0.0494919500, -1.074023000, -0.2070584000, -0.3620715000, -0.1049577000, -0.902781800
0.0372021300, -0.0494919500, -1.074023000, -0.2070584000, -0.3620715000, -0.1049577000, -0.902781800
0.0372021300, -0.0494919500, -1.074023000, -0.2070584000, -0.3620715000, -0.1049577000, -0.902781800
0.0372039600, -0.0495033200, -1.074038000, -0.2070717000, -0.3621161000, -0.1048992000, -0.902767600
0.0372039600, -0.0495033200, -1.074038000, -0.2070717000, -0.3621161000, -0.1048992000, -0.902767600
0.0372039600, -0.0495033200, -1.074038000, -0.2070717000, -0.3621161000, -0.1048992000, -0.902767600
0.0372039600, -0.0495033200, -1.074038000, -0.2070717000, -0.3621161000, -0.1048992000, -0.902767600
0.0372039600, -0.0495033200, -1.074038000, -0.2070717000, -0.3621161000, -0.1048992000, -0.902767600
0.0372039600, -0.0495033200, -1.074038000, -0.2070717000, -0.3621161000, -0.1048992000, -0.902767600
0.0372170200, -0.0494987300, -1.074026000, -0.2073348000, -0.3620717000, -0.1049670000, -0.902717200
0.0372170200, -0.0494987300, -1.074026000, -0.2073348000, -0.3620717000, -0.1049670000, -0.902717200
