rx, ry, rz, ax, ay, az, qx, qy, qz, qw
-0.4602536000, 0.0633779800, -0.159714500, -0.0835948700, -0.6900045000, 0.0443357100, -0.717593200, -0.0169306200, 0.9804030000, -0.060784700
-0.4607027000, 0.0634618600, -0.159931500, -0.0822556900, -0.6904078000, 0.0433794200, -0.717418500, -0.0608005600, 1.3012490000, -0.104897600
-0.4609384000, 0.0641801400, -0.160537000, -0.0800486900, -0.6925894000, 0.0420476000, -0.715642500, -0.1041886000, 1.2440400000, -0.052575910
-0.4609384000, 0.0641801400, -0.160537000, -0.0800486900, -0.6925894000, 0.0420476000, -0.715642500, -0.1041886000, 1.2440400000, -0.052575910
-0.4614312000, 0.0643893600, -0.160807000, -0.0787598400, -0.6929401000, 0.0411965400, -0.715495500, -0.1269770000, 1.5215130000, -0.159472200
-0.4615463000, 0.0651627300, -0.161371900, -0.0762664100, -0.6951913000, 0.0396157200, -0.713668700, -0.1269770000, 1.5215130000, -0.159472200
-0.4615463000, 0.0651627300, -0.161371900, -0.0762664100, -0.6951913000, 0.0396157200, -0.713668700, -0.1269770000, 1.5215130000, -0.159472200
-0.4620495000, 0.0654817100, -0.161587100, -0.0741260900, -0.6959263000, 0.0386384400, -0.713231400, -0.1133120000, 1.7440210000, -0.256133700
-0.4622108000, 0.0663861300, -0.162210200, -0.0700130500, -0.6983472000, 0.0361641100, -0.711408300, -0.1550813000, 1.8276550000, -0.254719200
-0.4622108000, 0.0663861300, -0.162210200, -0.0700130500, -0.6983472000, 0.0361641100, -0.711408300, -0.1550813000, 1.8276550000, -0.254719200
-0.4625749000, 0.0666744000, -0.162404000, -0.0686970000, -0.6986066000, 0.0352691100, -0.711326700, -0.2485648000, 2.3238220000, -0.240959200
-0.4627601000, 0.0678569100, -0.163026200, -0.0645385800, -0.7012298000, 0.0327986900, -0.709250200, -0.2993855000, 2.3714560000, -0.300726700
-0.4627601000, 0.0678569100, -0.163026200, -0.0645385800, -0.7012298000, 0.0327986900, -0.709250200, -0.2993855000, 2.3714560000, -0.300726700
-0.4632193000, 0.0682157900, -0.163266000, -0.0618323800, -0.7018220000, 0.0304091100, -0.709012000, -0.4951687000, 3.0528090000, -0.324831700
-0.4634014000, 0.0696293300, -0.163877500, -0.0563343800, -0.7047979000, 0.0271095400, -0.706648000, -0.5827843000, 3.0426150000, -0.348863700
-0.4634014000, 0.0696293300, -0.163877500, -0.0563343800, -0.7047979000, 0.0271095400, -0.706648000, -0.5827843000, 3.0426150000, -0.348863700
-0.4638244000, 0.0701077200, -0.164163900, -0.0530257800, -0.7053669000, 0.0242020800, -0.706441800, -0.6488229000, 2.7584970000, -0.446115600
-0.4638744000, 0.0716227200, -0.164799300, -0.0466767100, -0.7082899000, 0.0198779400, -0.704096300, -0.6488229000, 2.7584970000, -0.446115600
-0.4638744000, 0.0716227200, -0.164799300, -0.0466767100, -0.7082899000, 0.0198779400, -0.704096300, -0.6488229000, 2.7584970000, -0.446115600
-0.4643448000, 0.0719606400, -0.165034300, -0.0450285600, -0.7087239000, 0.0184906800, -0.703804600, -0.7310814000, 2.2876910000, -0.505936600
-0.4643995000, 0.0736203800, -0.165699500, -0.0380659700, -0.7117286000, 0.0136708200, -0.701289100, -0.7310814000, 2.2876910000, -0.505936600
-0.4643995000, 0.0736203800, -0.165699500, -0.0380659700, -0.7117286000, 0.0136708200, -0.701289100, -0.7310814000, 2.2876910000, -0.505936600
-0.4650196000, 0.0738816900, -0.165976600, -0.0365960600, -0.7125778000, 0.0120001800, -0.700535200, -0.8532224000, 1.2210100000, -0.534570300
-0.4652141000, 0.0757089600, -0.166770500, -0.0291048200, -0.7156875000, 0.0063457520, -0.697785100, -0.8435389000, 1.0925500000, -0.505392600
