X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
-761.21723	55.86885	158.26351	0.96128	16.18008	31.62092	0.13590	0.81781	0.52820	-0.22846	-0.50353	0.84896	0.16036	0.27866	-0.01611	0.96026	
-761.21498	55.85641	158.26902	0.96605	16.19420	31.62812	0.13837	0.81768	0.52833	-0.22859	-0.50360	0.84888	0.16059	0.27889	-0.01619	0.96019	
-761.21408	55.86292	158.24045	0.94968	16.18065	31.62547	0.14131	0.81776	0.52823	-0.22856	-0.50359	0.84896	0.16022	0.27867	-0.01592	0.96026	
-761.20317	55.84845	158.25199	0.95565	16.18645	31.62699	0.14295	0.81773	0.52827	-0.22858	-0.50360	0.84892	0.16036	0.27876	-0.01602	0.96023	
-761.22199	55.83282	158.27032	0.96483	16.20952	31.63415	0.15123	0.81757	0.52842	-0.22881	-0.50364	0.84883	0.16073	0.27915	-0.01617	0.96011	
-761.21583	55.85942	158.25349	0.96633	16.20246	31.62905	0.14109	0.81764	0.52835	-0.22871	-0.50359	0.84887	0.16067	0.27903	-0.01620	0.96015	
-761.21638	55.87500	158.25807	0.97440	16.15937	31.62001	0.14345	0.81790	0.52824	-0.22804	-0.50357	0.84894	0.16037	0.27831	-0.01633	0.96035	
-761.20205	55.85614	158.24211	0.95523	16.17990	31.61777	0.14043	0.81784	0.52813	-0.22852	-0.50349	0.84901	0.16026	0.27865	-0.01601	0.96026	
-761.21365	55.84573	158.23071	0.96915	16.20205	31.62819	0.15407	0.81765	0.52835	-0.22868	-0.50358	0.84887	0.16070	0.27903	-0.01624	0.96015	
-761.20666	55.83186	158.21289	0.92612	16.11377	31.63480	0.10601	0.81796	0.52825	-0.22780	-0.50390	0.84894	0.15932	0.27755	-0.01553	0.96059	
-761.19445	55.86164	158.25289	0.93833	16.15897	31.63025	0.13900	0.81781	0.52825	-0.22834	-0.50372	0.84895	0.15988	0.27830	-0.01573	0.96036	
-761.21376	55.85131	158.25117	0.95783	16.18917	31.63851	0.13962	0.81761	0.52845	-0.22857	-0.50376	0.84881	0.16046	0.27881	-0.01605	0.96021	
-761.20980	55.85849	158.26297	0.96262	16.18917	31.62725	0.14622	0.81771	0.52831	-0.22856	-0.50360	0.84890	0.16049	0.27881	-0.01613	0.96021	
-761.21507	55.86146	158.22908	0.94177	16.14270	31.62476	0.11980	0.81793	0.52817	-0.22809	-0.50368	0.84899	0.15976	0.27803	-0.01579	0.96044	
-761.21591	55.85963	158.26059	0.96513	16.18499	31.62132	0.14850	0.81778	0.52823	-0.22849	-0.50352	0.84895	0.16047	0.27874	-0.01618	0.96023	
-761.20711	55.84127	158.25027	0.95208	16.15032	31.62867	0.12961	0.81786	0.52828	-0.22810	-0.50372	0.84892	0.16000	0.27816	-0.01596	0.96040	
-761.20519	55.84318	158.23457	0.95479	16.16749	31.62419	0.13362	0.81783	0.52822	-0.22833	-0.50361	0.84895	0.16017	0.27845	-0.01600	0.96032	
-761.21575	55.84346	158.26868	0.96702	16.18826	31.62576	0.14060	0.81773	0.52830	-0.22851	-0.50358	0.84890	0.16054	0.27879	-0.01621	0.96021	
-761.19927	55.84634	158.25342	0.96570	16.16202	31.62869	0.13862	0.81781	0.52833	-0.22814	-0.50369	0.84888	0.16030	0.27835	-0.01619	0.96034	
-761.20239	55.85007	158.26445	0.95927	16.22152	31.61728	0.14847	0.81767	0.52815	-0.22908	-0.50337	0.84900	0.16068	0.27935	-0.01608	0.96005	
-761.20419	55.86880	158.25117	0.96957	16.17214	31.63054	0.13573	0.81776	0.52838	-0.22824	-0.50369	0.84885	0.16046	0.27852	-0.01625	0.96029	
-761.21685	55.84870	158.25382	0.95644	16.17696	31.62546	0.13496	0.81778	0.52825	-0.22844	-0.50360	0.84894	0.16028	0.27860	-0.01603	0.96027	
-761.20508	55.82481	158.27518	0.97276	16.21533	31.63377	0.13780	0.81755	0.52845	-0.22882	-0.50362	0.84881	0.16090	0.27925	-0.01630	0.96008	
-761.21421	55.84765	158.24738	0.96010	16.18592	31.63695	0.13167	0.81764	0.52844	-0.22851	-0.50374	0.84882	0.16046	0.27876	-0.01609	0.96023	
