X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1231.61668	-61.17156	100.79894	0.07931	-1.46850	176.03732	0.13848	-0.99728	0.06914	-0.02547	-0.06908	-0.99761	-0.00315	-0.02563	-0.00138	0.99967	
1231.61808	-61.17660	100.82025	0.08963	-1.45573	176.03955	0.12137	-0.99729	0.06911	-0.02524	-0.06905	-0.99761	-0.00332	-0.02540	-0.00156	0.99968	
1231.62131	-61.19018	100.84882	0.08064	-1.42920	176.04715	0.12837	-0.99731	0.06897	-0.02479	-0.06891	-0.99762	-0.00312	-0.02494	-0.00141	0.99969	
1231.60286	-61.21866	100.81458	0.10374	-1.53218	176.05504	0.11951	-0.99727	0.06885	-0.02655	-0.06877	-0.99763	-0.00365	-0.02674	-0.00181	0.99964	
1231.60479	-61.19986	100.81025	0.08443	-1.61810	176.08018	0.11672	-0.99726	0.06840	-0.02807	-0.06833	-0.99766	-0.00340	-0.02824	-0.00147	0.99960	
1231.62903	-61.17206	100.84247	0.06880	-1.41189	176.02824	0.12390	-0.99730	0.06929	-0.02450	-0.06924	-0.99760	-0.00290	-0.02464	-0.00120	0.99970	
1231.64041	-61.16096	100.82396	0.04931	-1.42257	176.03403	0.13449	-0.99730	0.06919	-0.02471	-0.06914	-0.99760	-0.00258	-0.02483	-0.00086	0.99969	
1231.63394	-61.15805	100.81305	0.08523	-1.41861	176.03302	0.12025	-0.99730	0.06922	-0.02459	-0.06916	-0.99760	-0.00320	-0.02476	-0.00149	0.99969	
1231.61340	-61.16609	100.81238	0.06101	-1.44359	176.05188	0.13038	-0.99731	0.06888	-0.02506	-0.06883	-0.99762	-0.00280	-0.02519	-0.00106	0.99968	
1231.61539	-61.16942	100.80507	0.05927	-1.45404	176.04233	0.13959	-0.99729	0.06905	-0.02524	-0.06900	-0.99761	-0.00278	-0.02537	-0.00103	0.99968	
1231.61512	-61.18061	100.84593	0.05365	-1.40855	176.05067	0.13157	-0.99732	0.06890	-0.02446	-0.06885	-0.99762	-0.00263	-0.02458	-0.00094	0.99970	
1231.61797	-61.18125	100.83352	0.08877	-1.42674	176.03714	0.13716	-0.99730	0.06915	-0.02473	-0.06909	-0.99761	-0.00327	-0.02490	-0.00155	0.99969	
1231.60462	-61.20105	100.79765	0.05959	-1.49315	176.06586	0.13405	-0.99730	0.06864	-0.02592	-0.06859	-0.99764	-0.00283	-0.02606	-0.00104	0.99966	
1231.58672	-61.20971	100.77858	0.06186	-1.56809	176.08086	0.12458	-0.99729	0.06838	-0.02723	-0.06832	-0.99766	-0.00295	-0.02736	-0.00108	0.99962	
1231.60354	-61.18440	100.78423	0.06560	-1.46298	176.05653	0.12193	-0.99731	0.06880	-0.02539	-0.06875	-0.99763	-0.00290	-0.02553	-0.00114	0.99967	
1231.60679	-61.21964	100.80253	0.06563	-1.41232	176.09129	0.13434	-0.99737	0.06819	-0.02451	-0.06815	-0.99767	-0.00282	-0.02465	-0.00115	0.99970	
1231.61782	-61.17503	100.79492	0.10216	-1.42890	176.02943	0.12900	-0.99729	0.06929	-0.02475	-0.06922	-0.99760	-0.00351	-0.02494	-0.00178	0.99969	
1231.61067	-61.21348	100.79401	0.04264	-1.48672	176.06969	0.13395	-0.99731	0.06856	-0.02583	-0.06852	-0.99765	-0.00252	-0.02595	-0.00074	0.99966	
1231.56515	-61.19839	100.79182	0.07564	-1.50030	176.03598	0.11458	-0.99727	0.06916	-0.02603	-0.06911	-0.99760	-0.00313	-0.02618	-0.00132	0.99966	
1231.62329	-61.19206	100.79333	0.08038	-1.49281	176.12184	0.13448	-0.99737	0.06767	-0.02590	-0.06761	-0.99771	-0.00316	-0.02605	-0.00140	0.99966	
